,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,run,wolves,sheep,grass,tick
348,62,62,12,25,5,15,25,16,0.0,59.0,2020.0,150
349,62,62,12,25,5,15,25,17,55.0,213.0,1056.0,50
350,62,62,12,25,5,15,25,17,684.0,49.0,1293.0,100
351,62,62,12,25,5,15,25,17,1.0,27.0,2259.0,150
352,62,62,12,25,5,15,25,18,71.0,183.0,1046.0,50
353,62,62,12,25,5,15,25,18,539.0,54.0,1343.0,100
354,62,62,12,25,5,15,25,18,8.0,60.0,1896.0,150
355,62,62,12,25,5,15,25,19,109.0,184.0,1089.0,50
356,62,62,12,25,5,15,25,19,258.0,39.0,1625.0,100
357,62,62,12,25,5,15,25,19,9.0,122.0,1419.0,150
358,62,62,12,25,5,15,25,20,90.0,210.0,1032.0,50
359,62,62,12,25,5,15,25,20,357.0,34.0,1514.0,100
360,62,62,12,25,5,15,25,20,5.0,104.0,1659.0,150
361,62,62,12,25,5,15,25,21,60.0,223.0,967.0,50
362,62,62,12,25,5,15,25,21,457.0,21.0,1684.0,100
363,62,62,12,25,5,15,25,21,0.0,98.0,1668.0,150
364,62,62,12,25,5,15,25,22,60.0,187.0,1161.0,50
365,62,62,12,25,5,15,25,22,489.0,40.0,1395.0,100
366,62,62,12,25,5,15,25,22,0.0,28.0,2302.0,150
367,62,62,12,25,5,15,25,23,43.0,171.0,1145.0,50
368,62,62,12,25,5,15,25,23,608.0,73.0,1217.0,100
369,62,62,12,25,5,15,25,23,2.0,31.0,2288.0,150
370,62,62,12,25,5,15,25,24,68.0,233.0,915.0,50
371,62,62,12,25,5,15,25,24,360.0,26.0,1746.0,100
372,62,62,12,25,5,15,25,24,0.0,41.0,2120.0,150
373,62,62,12,25,5,15,25,25,102.0,131.0,1330.0,50
374,62,62,12,25,5,15,25,25,310.0,134.0,1078.0,100
375,62,62,12,25,5,15,25,25,26.0,91.0,1705.0,150
376,62,62,12,25,5,15,25,26,63.0,127.0,1397.0,50
377,62,62,12,25,5,15,25,26,464.0,174.0,787.0,100
378,62,62,12,25,5,15,25,26,10.0,36.0,2280.0,150
379,62,62,12,25,5,15,25,27,26.0,156.0,1307.0,50
380,62,62,12,25,5,15,25,27,589.0,87.0,1024.0,100
381,62,62,12,25,5,15,25,27,0.0,27.0,2253.0,150
382,62,62,12,25,5,15,25,28,16.0,198.0,1164.0,50
383,62,62,12,25,5,15,25,28,831.0,193.0,662.0,100
384,62,62,12,25,5,15,25,28,0.0,0.0,2601.0,150
385,62,62,12,25,5,15,25,29,73.0,131.0,1360.0,50
386,62,62,12,25,5,15,25,29,461.0,82.0,1225.0,100
387,62,62,12,25,5,15,25,29,10.0,67.0,1950.0,150
388,62,62,12,25,5,15,25,30,93.0,176.0,1079.0,50
389,62,62,12,25,5,15,25,30,337.0,57.0,1509.0,100
390,62,62,12,25,5,15,25,30,35.0,111.0,1540.0,150
391,62,62,12,25,5,15,25,31,73.0,206.0,1054.0,50
392,62,62,12,25,5,15,25,31,265.0,39.0,1668.0,100
393,62,62,12,25,5,15,25,31,14.0,147.0,1299.0,150
394,62,62,12,25,5,15,25,32,80.0,189.0,1082.0,50
395,62,62,12,25,5,15,25,32,365.0,43.0,1546.0,100
396,62,62,12,25,5,15,25,32,7.0,162.0,1249.0,150
397,62,62,12,25,5,15,25,33,80.0,192.0,1112.0,50
398,62,62,12,25,5,15,25,33,367.0,24.0,1705.0,100
399,62,62,12,25,5,15,25,33,0.0,58.0,1972.0,150
400,62,62,12,25,5,15,25,34,106.0,193.0,1021.0,50
401,62,62,12,25,5,15,25,34,308.0,38.0,1642.0,100
402,62,62,12,25,5,15,25,34,18.0,176.0,1256.0,150
403,62,62,12,25,5,15,25,35,33.0,127.0,1354.0,50
404,62,62,12,25,5,15,25,35,517.0,210.0,732.0,100
405,62,62,12,25,5,15,25,35,1.0,16.0,2378.0,150
406,62,62,12,25,5,15,25,36,39.0,226.0,1017.0,50
407,62,62,12,25,5,15,25,36,928.0,26.0,1227.0,100
408,62,62,12,25,5,15,25,36,0.0,11.0,2420.0,150
409,62,62,12,25,5,15,25,37,52.0,128.0,1371.0,50
410,62,62,12,25,5,15,25,37,456.0,225.0,709.0,100
411,62,62,12,25,5,15,25,37,2.0,15.0,2425.0,150
412,62,62,12,25,5,15,25,38,60.0,212.0,1083.0,50
