,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,runs,CV_sheep,CV_wolves,CV_grass
422,188,62,12,25,15,15,25,7,0.3643146452492957,0.3284350552451268,3.390539941326012
423,188,62,12,25,15,15,25,10,0.3740775886150803,0.25224862683981253,3.463679941653441
424,188,62,12,25,15,15,25,15,0.4010942995983992,0.259863597785297,3.571898804224787
425,188,62,12,25,15,15,25,20,0.4337628131682361,0.28396751464379333,3.275808980908252
426,188,62,12,25,15,15,72,3,0.0,0.0,6.9886901667738135
427,188,62,12,25,15,15,72,5,0.3535533905932738,0.0,3.964883541512291
428,188,62,12,25,15,15,72,7,0.3092436597348223,0.0,3.595565793519186
429,188,62,12,25,15,15,72,10,0.35281138061521994,0.0,2.785452212823351
430,188,62,12,25,15,15,72,15,0.40934946471732436,0.15811388300841897,2.912425896210816
431,188,62,12,25,15,15,72,20,0.4614606797312002,0.16779399579994253,2.672149356624361
432,188,62,12,72,5,5,25,3,0.0,16.71466918512853,194.31601886073452
433,188,62,12,72,5,5,25,5,0.0,9.713264379174682,239.07215638359304
434,188,62,12,72,5,5,25,7,0.2581988897471611,6.028610922009797,135.0787929231859
435,188,62,12,72,5,5,25,10,0.19999999999999993,6.394120656575512,156.3882778637519
436,188,62,12,72,5,5,25,15,0.22652988649113004,5.476539110051246,180.31744926081785
437,188,62,12,72,5,5,25,20,0.18414137497317526,5.777110366430032,191.32008352409923
438,188,62,12,72,5,5,72,3,0.0,7.830277624318528,215.77400917239783
439,188,62,12,72,5,5,72,5,0.0,10.005640561563958,74.1904869050557
440,188,62,12,72,5,5,72,7,0.0,8.87318087907004,43.11374042602704
441,188,62,12,72,5,5,72,10,0.19999999999999998,8.298578667250947,45.62435435094207
442,188,62,12,72,5,5,72,15,0.22652988649113,7.395450758993726,48.52826860870741
443,188,62,12,72,5,5,72,20,0.29124608349325437,6.97234736984459,46.47928437589854
444,188,62,12,72,5,15,25,3,0.0,0.5773502691896256,0.0
445,188,62,12,72,5,15,25,5,0.0,0.5400617248673217,0.0
